id;age;gender;country
1001;48;f;US
1002;34;m;CL
1003;30;m;MX
1004;35;m;PE
1005;NA;NA;MX
1006;NA;NA;ES
1007;40;f;ES
1008;27;f;AR
1009;27;m;MX
1010;21;m;MX
1011;27;m;MX
1012;42;m;CR
1013;NA;m;EC
1014;34;m;VE
1015;41;m;MX
1016;30;f;PE
1017;34;f;PE
1018;24;m;CO
1019;54;m;BR
1020;28;f;ES
1021;25;m;HN
1022;48;f;CL
1023;38;m;MX
1024;20;m;MX
1025;23;f;BR
1026;53;m;MX
1027;27;m;PE
1028;35;m;AO
1029;27;m;PE
1030;25;m;BR
1031;NA;NA;AR
1032;31;m;EC
1033;28;m;MX
1034;47;m;MX
1035;20;f;MX
1036;63;f;ES
1037;34;m;PE
1038;25;f;GB
1039;28;f;ES
1040;61;f;IT
1041;61;f;IT
1042;26;f;MX
1043;43;f;ES
1044;42;f;MX
1045;NA;NA;ES
1046;40;f;CR
1047;35;f;ES
1048;40;f;CO
1049;64;f;0
1050;39;f;BR
1051;38;m;BR
1052;25;m;CO
1053;24;f;MX
1054;46;f;MX
1055;NA;NA;VE
1056;NA;f;ES
1057;28;f;BR
1058;42;f;ES
1059;27;f;PE
1060;42;f;PE
1061;24;f;MX
1062;NA;f;CL
1063;50;f;BR
1064;22;f;BR
1065;31;f;CR
1066;NA;NA;CO
1067;21;m;PE
1068;29;f;ES
1069;25;f;0
1070;25;m;CR
1071;29;f;BR
1072;33;m;MX
1073;NA;NA;0
1074;21;f;BR
1075;NA;NA;GB
1076;26;m;PE
1077;NA;m;BR
1078;23;f;MX
1079;28;f;ES
1080;27;f;CR
1081;21;m;CO
1082;41;m;SV
1083;40;f;BR
1084;29;f;BR
1085;NA;f;BR
1086;30;m;CL
1087;NA;m;ES
1088;40;f;SV
1089;40;m;CL
1090;40;f;MX
1091;NA;NA;CO
1092;49;m;US
1093;46;m;BR
1094;30;f;GT
1095;21;f;MX
1096;32;f;MX
1097;25;f;CO
1098;28;f;BR
1099;37;f;MX
1100;37;f;BR
1101;25;f;AR
1102;44;f;BR
1103;39;f;CL
1104;25;m;PR
1105;24;m;MX
1106;32;f;CO
1107;32;f;MX
1108;NA;f;PE
1109;36;f;ES
1110;30;f;MX
1111;38;f;CO
1112;23;f;MX
1113;38;f;CO
1114;52;f;BR
1115;21;m;EC
1116;34;m;MX
1117;22;m;BR
1118;36;m;EC
1119;23;m;GT
1120;40;f;ES
1121;22;f;ES
1122;43;m;ES
1123;41;m;MX
1124;39;f;BR
1125;NA;NA;MX
1126;23;f;MX
1127;31;f;ES
1128;32;f;CL
1129;21;m;MX
1130;38;f;ES
1131;25;f;MX
1132;24;f;MX
1133;NA;f;BR
1134;39;f;ES
1135;23;f;PE
1136;NA;NA;CO
1137;22;f;PE
1138;NA;f;BR
1139;34;f;ES
1140;29;f;ES
1141;38;m;GT
1142;44;m;CO
1143;40;f;ES
1144;41;f;MX
1145;19;f;MZ
1146;51;m;BR
1147;36;f;MX
1148;23;f;ES
1149;48;f;VE
1150;55;f;NL
1151;19;f;BR
1152;28;f;EC
1153;27;f;ES
1154;48;m;ES
1155;49;m;AR
1156;36;f;BR
1157;28;m;PE
1158;23;m;CR
1159;47;m;BR
1160;26;m;GB
1161;26;m;GB
1162;31;f;MX
1163;NA;NA;BR
1164;38;f;GR
1165;23;m;PE
1166;NA;NA;DE
1167;33;f;BR
1168;31;f;MX
1169;33;m;CO
1170;34;f;BR
1171;41;m;BR
1172;28;f;MX
1173;24;f;CL
1174;35;f;BR
1175;42;m;CO
1176;56;m;VE
1177;45;f;BR
1178;47;m;IT
1179;24;m;IT
1180;30;f;CL
