Gender;Country;Country_other;Age;Family;Kids;SchoolLevel;work;LE1[SQ001];LE1[SQ002];LE1[SQ003];LE1[SQ004];LE2;LE3;LE4;LE5;LE6;B1;B2[SQ001];B2[SQ002];B2[SQ003];B2[SQ004];B2[SQ005];B2[SQ006];B3[SQ001];B3[SQ002];B3[SQ003];B3[SQ004];B3[SQ005];B4[SQ001];B4[SQ002];B4[SQ003];B4[SQ004];B4[SQ005];B4[SQ006];B4[SQ007];B4[SQ008];B5;B6;FU0
Femenino;Perú;;1991;vivo con mis padres;0;Master;desempleado y en búsqueda de empleo;5;5;5;5;Durante el curso;Si;60;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Neutral;Muy importante;Muy importante;Muy importante;Importante;Muy importante;Muy importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Importante;Importante;Importante;Importancia moderada;Importante;Importante;De poca importancia;De poca importancia;Sí;Me estoy involucrando activamente en las campañas de limpieza de playas.;
Masculino;España;;1964;vivo en pareja;0;Doctorado;asalariado;6;6;6;6;Durante el curso;Si;200;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Muy importante;Importante;Importante;De poca importancia;Importancia moderada;Muy importante;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy importante;Muy importante;Importante;Muy importante;Importante;Importante;Importante;Importante;Sí;Actitud más responsable en las playas donde veraneo;También imparto clases en varias universidades sobre temas ambientales (UPM, UAM, UNIR...) y he escrito varios libros y artículos sobre medio ambiente de amplia tirada en España y LATAM. Subdirector de la Unidad de Cambio Climático de AENOR durante 15 años. Podría colaborar con Open Univertiteit si lo desean. Un cordial saludo
Femenino;España;;1970;vivo en pareja;2;Universitario;autónomo;6;Completamente;Completamente;Completamente;Al comenzar el curso.;No tuve suficiente tiempo;90;Navegado y descargado los materiales educativos;;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Neutral;Neutral;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;Muy importante;Importante;Importante;Importancia moderada;Importancia moderada;Importancia moderada;De poca importancia;De poca importancia;Sí;En mi Región hemos iniciado charlas en centros educativos y jornadas de limpieza en rios y espacios naturales;
Masculino;España;;1971;vivo en pareja;3;Master;asalariado;6;6;6;6;Durante el curso;No tuve suficiente tiempo;100;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Muy importante;Importancia moderada;Muy importante;Importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Importante;Importante;Importante;Importante;Importante;Importante;Importancia moderada;Importancia moderada;Sí;LIMPIEZA DE FONDOS MARINOS SOMEROS Y DE PLAYAS;Me han ofrecido conocimientos actualizados y muy variados sobre este tema que lo considero de vital importancia. Muchas gracias.
Femenino;Otro;Portugal;1979;vivo en pareja;0;Master;asalariado;2;2;3;4;Al comenzar el curso.;Si, pero decidí invertir menos tiempo;60;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;De poca importancia;Importante;Muy importante;Importancia moderada;Importante;Importante;Neutral;De acuerdo;En desacuerdo;De acuerdo;Totalmente de acuerdo;Importancia moderada;Muy importante;De poca importancia;Sin importancia;Sin importancia;Sin importancia;Importancia moderada;Sin importancia;No;ninguna;
Masculino;Argentina;;1972;vivo en pareja;1;Universitario;asalariado;6;Completamente;6;Completamente;Durante el curso;No tuve suficiente tiempo;40;Participado en la mayoría de las actividades de algunos módulos, he navegado y descargado los materiales;7;Totalmente de acuerdo;Muy importante;Importante;Importante;Importancia moderada;Muy importante;Muy importante;De acuerdo;De acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Importante;Importante;Importante;Importancia moderada;Importante;Importancia moderada;De poca importancia;De poca importancia;No;Campañas de concientización y preparción de proyectos de ley;El curso me resultó sumamente útil y excedió por completo mis expectativas. Lamentablemente no llegué a presentar el trabajo final, si bien lo estuve preparando con la idea de presentarlo, por cuestiones laborales (y por una confusión mía sobre el alcance del plan de acción) no pude terminarlo en la fecha prevista. De todas formas, el curso me resultó muy interesante y voy a terminar de preparar el plan de acción para presentarlo en otra oportunidad. Saludos, Gustavo.
Femenino;Perú;;1997;vivo con mis padres;0;Estudios superiores;estudiante;5;6;6;6;Durante el curso;No tuve suficiente tiempo;100;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO, he navegado y descargado los materiales, y he enviado la tarea final para obtener el certificado;;Neutral;Muy importante;Importante;Importante;Importante;Muy importante;Importante;De acuerdo;De acuerdo;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;Importante;Importante;Muy importante;Importante;Importante;Importancia moderada;Importancia moderada;Importancia moderada;No;campañas de limpieza de playas;muy buena iniciativa para informarnos y motivarnos a cuidar nuestras playas y océanos 
Femenino;Chile;;1994;Otro;0;Estudios medios;Otro;Nada;6;4;4;Nunca;No tuve suficiente tiempo;72;Navegado y descargado los materiales educativos;;En desacuerdo;Importante;Importancia moderada;Muy importante;Importante;Importante;Importancia moderada;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Importancia moderada;Muy importante;Muy importante;Importante;Importante;Importancia moderada;Importancia moderada;De poca importancia;No;Utilizar bolsas de género o simplemente la mochila para transportar productos. Ubicar lugares de reciclaje de plásticos.;El curso me permitió tener conocimiento sobre el tema de la Basura Marina, por asuntos personales y académicos no conseguí realizar las tareas finales.
Masculino;España;;1994;vivo con mis padres;0;Master;asalariado;Completamente;Completamente;Completamente;Completamente;Al comenzar el curso.;Si;300;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;De acuerdo;Importante;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Importante;Importante;Importante;Muy importante;Importante;Muy importante;Muy importante;Muy importante;No;Voy a intentar concienciar a mi circulo de familiares y amigos sobre la basura marina, además de contagiarlo a mi propia empresa. ;
Femenino;España;;1959;vivo en pareja;0;Estudios superiores;asalariado;6;6;6;6;Antes de comenzar el curso;Si;50;Participado en todas las tareas de aprendizaje de la ORIENTACIÓN LIDERAZGO y ORIENTACIÓN EXPERTO, he navegado,  descargado los materiales y enviado las tareas finales;;Totalmente de acuerdo;Importante;Importante;Importante;Importancia moderada;Muy importante;Importante;Totalmente de acuerdo;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Muy importante;Muy importante;Muy importante;Importante;Importante;Importante;Importante;Importante;No;coordinación de voluntariado ambiental para acciones 'clean up';Ha sido un curso muy interesante y con mucha información especializada.
