Timestamp, Decibels, Group
"1429693356910","-6.654400766838608","Control"
"1429693357961","-3.936929612926014","Control"
"1429693359006","-8.031485866542633","Control"
"1429693360053","-2.902638202608685","Control"
"1429693361106","-7.588796962257616","Control"
"1429693362157","-8.088442723999158","Control"
"1429693363225","-1.782770695963939","Control"
"1429693364265","2.4382456395622425","Control"
"1429693365311","1.7928697649923329","Control"
"1429693366362","9.10366718464237","Control"
"1429693367396","1.904678898889297","Control"
"1429693368450","-9.484711329643485","Control"
"1429693369474","2.734411343128136","Control"
"1429693370500","0.9613514607749827","Control"
"1429693371534","2.8857170119246396","Control"
"1429693372583","-0.769820375138158","Control"
"1429693373664","6.036670018951642","Control"
"1429693374711","-1.2541010353352087","Control"
"1429693375758","1.3664663691883294","Control"
"1429693376797","2.455236347080508","Control"
"1429693377846","5.327770200175347","Control"
"1429693378895","4.326250981637672","Control"
"1429693379940","1.60771894371991","Control"
"1429693380987","-0.893729603962991","Control"
"1429693382034","-1.9221301544891098","Control"
"1429693383077","-3.1672498419049933","Control"
"1429693384119","0.4635244161166294","Control"
"1429693385161","-2.4219079505307937","Control"
"1429693386211","-7.658439212171656","Control"
"1429693387255","-2.1704898294533246","Control"
"1429693388304","-5.088095671441584","Control"
"1429693389347","-0.6407246400061697","Control"
"1429693390403","-3.8212836431254975","Control"
"1429693391455","-7.61968015795059","Control"
"1429693392527","-5.6182870939621345","Control"
"1429693393574","-4.049007163285984","Control"
"1429693394625","-4.383523195100589","Control"
"1429693395664","1.2558165971891087","Control"
"1429693396711","-0.2944651364141269","Control"
"1429693397766","-2.6808209990736924","Control"
"1429693398813","-4.93344666682777","Control"
"1429693399861","-2.676441926816549","Control"
"1429693400901","-4.927771469214527","Control"
"1429693401943","-1.541264036272552","Control"
"1429693402991","0.6893010239689819","Control"
"1429693404035","0.10869492145632235","Control"
"1429693405068","-3.628640150495848","Control"
"1429693406119","-0.7137595777810266","Control"
"1429693407166","3.374749830648069","Control"
"1429693408215","-2.1333970059442526","Control"
"1429693409263","-3.5411486365540346","Control"
"1429693410305","-3.2557158455228814","Control"
"1429693411355","-3.6580009321591076","Control"
"1429693412404","-0.6061607677428699","Control"
"1429693413476","-4.720354116211353","Control"
"1429693414525","-3.766514309453858","Control"
"1429693415571","-10.489804588738338","Control"
"1429693416455","-6.964392420318701","Control"
"1429693417504","-3.0248173571335935","Control"
"1429693418547","-7.689571466425544","Control"
"1429693419599","-4.973277216458895","Control"
"1429693420641","-6.612973551718114","Control"
"1429693421685","-9.211043065729392","Control"
"1429693422735","-0.950967963571121","Control"
"1429693423781","-7.3531040953514","Control"
"1429693424821","-7.413318476107512","Control"
"1429693425867","-9.127835397218366","Control"
"1429693426925","-9.998117869399646","Control"
"1429693427975","-14.510001037501361","Control"
"1429693429024","-14.458857280485491","Control"
"1429693430072","-9.56174854983366","Control"
"1429693431121","-5.89286394005161","Control"
"1429693432165","-10.245713435658267","Control"
"1429693433230","-12.092824879799904","Control"
"1429693434313","-5.867540628709115","Control"
"1429693435365","-10.121033453186756","Control"
"1429693436410","-9.173963437857527","Control"
"1429693437460","-10.446858198956626","Control"
"1429693438505","-9.183218515598456","Control"
"1429693439553","-6.950059265848287","Control"
"1429693440598","-4.474587935400516","Control"
"1429693441635","-8.137561929196407","Control"
"1429693442684","-11.541154447158133","Control"
"1429693443726","-8.714571391228748","Control"
"1429693444772","-1.0085860165657081","Control"
"1429693445815","-16.018717782679268","Control"
"1429693446865","-5.50841492374301","Control"
"1429693447906","-6.4087504378513405","Control"
"1429693448956","-9.797046630491685","Control"
"1429693450001","-12.76544327964814","Control"
"1429693451045","-13.433918389387136","Control"
"1429693452094","-14.109042637278781","Control"
"1429693453145","-16.35043884565836","Control"
"1429693454194","-15.4670473500375","Control"
"1429693455271","-4.9618784095236546","Control"
"1429693456325","-12.668082408435824","Control"
"1429693457363","-14.37428125063552","Control"
"1429693458405","-5.829693555155017","Control"
"1429693459449","-7.160241235441727","Control"
"1429693460496","-9.146257227322199","Control"
"1429693461544","-2.8444185645330835","Control"
"1429693462585","-9.40835136850312","Control"
"1429693463635","-5.599878278230538","Control"
"1429693464681","-15.148435310497991","Control"
"1429693465724","-17.381417994050253","Control"
"1429693466765","-5.8738645384446455","Control"
"1429693467820","-4.83185615624227","Control"
"1429693468866","-8.575315668781574","Control"
"1429693469919","-6.3217234552617185","Control"
