IDREGISTRO,MINS_WAIT,ACTIVIDAD
3725,0,Refrigerado
3726,0,Congelado
3730,0,Refrigerado
3731,0,Refrigerado
3732,100,Refrigerado
3734,0,Refrigerado
3744,0,Refrigerado
3745,16,Refrigerado
3746,0,Refrigerado
3748,0,Refrigerado
3751,0,Refrigerado
3755,46,Refrigerado
3759,0,Refrigerado
3759,1,Refrigerado
3763,0,Refrigerado
3764,0,Congelado
3767,0,Refrigerado
3769,0,Refrigerado
3774,0,Refrigerado
3775,0,Refrigerado
3776,0,Refrigerado
3777,0,Refrigerado
3779,0,Refrigerado
3551,3,Refrigerado
3556,2,Fruta
3569,4,Refrigerado
3621,0,Refrigerado
3625,48,Congelado
3634,16,Refrigerado
3673,0,Refrigerado
3691,12,Refrigerado
3699,17,Congelado
3704,0,Refrigerado
3712,196,Refrigerado
3737,0,Congelado
3739,47,Refrigerado
3753,0,Refrigerado
3756,0,Congelado
3770,10,Refrigerado
3780,0,Refrigerado
3784,3,Congelado
3787,0,Refrigerado
3788,197,Refrigerado
3789,0,Refrigerado
3791,1,Refrigerado
3792,1,Refrigerado
3797,153,Refrigerado
3798,8,Fruta
3799,0,Refrigerado
3802,181,Refrigerado
3803,0,Refrigerado
3804,3,Fruta
3805,0,Congelado
3806,0,Refrigerado
3807,171,Refrigerado
3560,22,Fruta
3565,3,Refrigerado
3568,2,Refrigerado
3570,6,Refrigerado
3574,0,Refrigerado
3576,7,Fruta
3578,5,Fruta
3579,8,Refrigerado
3580,5,Refrigerado
3609,3,Refrigerado
3632,3,Refrigerado
3636,1,Fruta
3640,2,Fruta
3641,235,Refrigerado
3643,7,Fruta
3645,26,Congelado
3675,6,Refrigerado
3675,6,Refrigerado
3682,28,Refrigerado
3689,12,Refrigerado
3707,0,Refrigerado
3709,14,Refrigerado
3727,0,Refrigerado
3735,0,Refrigerado
3736,0,Congelado
3740,47,Refrigerado
3742,1,Refrigerado
3750,0,Refrigerado
3752,51,Fruta
3760,1,Refrigerado
3765,0,Refrigerado
3766,0,Refrigerado
3768,0,Refrigerado
3771,0,Congelado
3548,45,Refrigerado
3553,0,Refrigerado
3561,16,Fruta
3566,14,Refrigerado
3567,14,Fruta
3583,23,Congelado
3586,12,Fruta
3591,3,Fruta
3593,4,Congelado
3608,83,Congelado
3610,233,Congelado
3639,8,Fruta
3644,106,Congelado
3668,15,Refrigerado
3714,186,Refrigerado
3729,0,Refrigerado
3733,0,Refrigerado
3741,0,Congelado
3747,90,Congelado
3754,0,Refrigerado
3758,0,Refrigerado
3762,7,Refrigerado
3773,15,Congelado
3778,2,Refrigerado
3781,0,Refrigerado
3782,0,Congelado
3783,0,Congelado
3785,0,Congelado
3786,0,Refrigerado
3793,189,Refrigerado
3554,7,Refrigerado
3554,7,Refrigerado
3571,5,Fruta
3575,0,Refrigerado
3581,2,Congelado
3585,29,Fruta
3587,15,Fruta
3602,24,Congelado
3622,5,Fruta
3626,4,Fruta
3627,151,Congelado
3629,114,Congelado
3649,0,Refrigerado
3674,2,Refrigerado
3674,2,Refrigerado
3676,15,Refrigerado
3679,52,Refrigerado
3683,25,Refrigerado
3687,0,Refrigerado
3696,8,Congelado
3724,0,Refrigerado
3749,0,Congelado
3757,7,Refrigerado
3761,0,Refrigerado
3772,0,Refrigerado
3790,0,Refrigerado
3794,13,Congelado
3795,0,Refrigerado
3796,0,Refrigerado
3800,7,Fruta
3801,1,Refrigerado
3547,0,Refrigerado
3552,1,Refrigerado
3559,16,Refrigerado
3562,22,Congelado
3572,3,Refrigerado
3573,2,Refrigerado
3577,6,Fruta
3582,5,Fruta
3588,23,Congelado
3589,31,Fruta
3592,3,Fruta
3594,10,Fruta
3601,0,Congelado
3603,8,Congelado
3604,3,Refrigerado
3606,12,Fruta
3624,140,Congelado
3630,8,Fruta
3642,39,Fruta
3650,33,Congelado
3662,83,Congelado
3662,83,Congelado
3664,1,Refrigerado
3666,3,Refrigerado
3667,2,Refrigerado
3669,32,Refrigerado
3670,47,Refrigerado
3672,13,Refrigerado
3677,8,Refrigerado
3678,0,Refrigerado
3681,34,Refrigerado
3685,0,Refrigerado
3688,1,Refrigerado
3692,2,Congelado
3549,0,Refrigerado
3550,0,Refrigerado
3557,2,Refrigerado
3558,25,Refrigerado
3563,12,Fruta
3564,6,Refrigerado
3590,6,Fruta
3605,1,Fruta
3607,26,Congelado
3623,27,Congelado
3628,6,Congelado
3631,168,Congelado
3633,16,Refrigerado
3635,131,Congelado
3637,69,Congelado
3647,3,Congelado
3648,12,Fruta
3661,11,Refrigerado
3671,35,Refrigerado
3680,40,Refrigerado
3684,0,Refrigerado
3686,2,Refrigerado
3694,1,Refrigerado
3697,1,Refrigerado
3700,0,Congelado
3703,0,Refrigerado
3713,0,Refrigerado
3719,0,Refrigerado
3721,0,Congelado
3814,3,Refrigerado
3820,0,Refrigerado
3826,150,Refrigerado
3831,6,Fruta
3834,0,Refrigerado
3842,1,Refrigerado
3865,4,Refrigerado
3871,19,Fruta
3872,54,Congelado
3888,1,Refrigerado
3890,220,Congelado
3902,55,Congelado
3926,56,Congelado
3927,93,Congelado
3927,63,Congelado
4007,0,Refrigerado
4008,0,Congelado
4009,0,Congelado
4010,188,Congelado
4012,0,Refrigerado
4013,0,Refrigerado
4014,0,Refrigerado
4015,0,Refrigerado
4016,211,Congelado
4017,0,Congelado
4018,0,Congelado
4019,0,Refrigerado
4020,117,Fruta
4021,0,Refrigerado
4022,0,Refrigerado
4023,0,Refrigerado
4024,0,Congelado
4025,0,Refrigerado
4026,1,Refrigerado
3808,170,Fruta
3813,0,Refrigerado
3821,8,Refrigerado
3824,0,Refrigerado
3827,0,Refrigerado
3832,49,Refrigerado
3835,45,Congelado
3837,10,Refrigerado
3840,79,Fruta
3847,1,Refrigerado
3848,3,Refrigerado
3850,2,Refrigerado
3851,1,Refrigerado
3874,22,Fruta
3889,15,Fruta
3892,0,Refrigerado
3901,121,Congelado
3906,20,Congelado
4033,0,Refrigerado
4034,17,Refrigerado
4035,17,Refrigerado
4036,150,Congelado
4037,0,Refrigerado
4038,0,Congelado
4039,0,Refrigerado
4040,0,Refrigerado
4041,0,Refrigerado
4042,1,Congelado
4043,120,Fruta
4044,0,Refrigerado
4045,0,Congelado
4046,0,Refrigerado
4047,11,Refrigerado
3864,37,Fruta
3879,67,Congelado
3884,22,Refrigerado
3885,23,Fruta
3886,6,Fruta
3891,2,Fruta
3923,2,Fruta
3924,7,Congelado
3930,0,Refrigerado
4048,0,Refrigerado
4049,0,Refrigerado
4050,0,Refrigerado
4051,0,Refrigerado
4052,0,Congelado
4053,74,Congelado
4054,0,Refrigerado
4055,0,Refrigerado
4056,9,Refrigerado
4057,0,Refrigerado
4058,0,Refrigerado
4059,85,Fruta
4060,0,Refrigerado
4061,1,Congelado
4062,0,Refrigerado
4063,0,Refrigerado
4064,5,Refrigerado
4065,77,Congelado
4066,12,Fruta
4067,0,Congelado
4068,0,Refrigerado
4069,0,Refrigerado
4070,0,Congelado
4071,0,Refrigerado
4072,0,Refrigerado
4073,5,Refrigerado
3809,0,Refrigerado
3823,124,Refrigerado
3841,3,Fruta
3860,76,Refrigerado
3867,1,Refrigerado
3870,11,Fruta
3880,58,Refrigerado
3893,50,Congelado
3900,122,Congelado
3922,24,Congelado
3935,0,Congelado
4074,0,Refrigerado
4075,0,Refrigerado
4076,0,Congelado
4077,0,Refrigerado
4078,0,Refrigerado
4079,12,Refrigerado
4080,11,Refrigerado
4081,0,Refrigerado
4082,0,Refrigerado
4083,0,Congelado
4084,0,Refrigerado
4085,0,Refrigerado
4086,4,Refrigerado
4087,1,Congelado
4088,0,Refrigerado
4089,0,Refrigerado
4090,0,Refrigerado
4091,0,Refrigerado
4092,0,Refrigerado
4093,66,Refrigerado
4094,5,Refrigerado
4095,109,Refrigerado
4096,6,Refrigerado
3811,0,Refrigerado
3812,0,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,9,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3815,5,Refrigerado
3817,0,Congelado
3825,0,Refrigerado
3828,2,Refrigerado
3838,104,Congelado
3843,69,Refrigerado
3844,170,Congelado
3845,2,Refrigerado
3846,3,Refrigerado
3853,0,Fruta
3857,0,Refrigerado
3861,29,Fruta
3862,26,Refrigerado
3866,34,Fruta
3869,10,Congelado
3873,46,Congelado
3876,19,Fruta
3877,23,Fruta
3895,13,Refrigerado
3897,1,Refrigerado
3903,2,Congelado
3904,6,Fruta
3907,20,Fruta
3921,8,Fruta
3925,30,Congelado
3932,0,Fruta
3936,0,Refrigerado
3941,25,Refrigerado
3942,9,Refrigerado
3943,7,Refrigerado
3944,6,Refrigerado
3810,0,Refrigerado
3836,14,Refrigerado
3849,3,Fruta
3908,17,Congelado
3931,0,Fruta
3933,54,Congelado
3934,6,Refrigerado
3946,17,Refrigerado
3947,0,Refrigerado
3948,194,Congelado
3949,1,Refrigerado
3950,14,Congelado
3951,1,Congelado
3952,4,Refrigerado
3953,0,Refrigerado
3954,149,Refrigerado
3962,0,Refrigerado
3963,58,Refrigerado
3972,0,Refrigerado
3973,0,Congelado
3978,129,Refrigerado
3979,0,Refrigerado
3980,0,Refrigerado
3982,0,Congelado
3983,0,Refrigerado
3984,1,Refrigerado
4028,0,Refrigerado
4029,20,Refrigerado
4030,16,Refrigerado
4031,0,Refrigerado
4032,0,Refrigerado
3816,5,Refrigerado
3818,0,Fruta
3829,25,Congelado
3830,9,Fruta
3833,3,Refrigerado
3855,1,Refrigerado
3858,4,Fruta
3859,5,Refrigerado
3863,38,Refrigerado
3882,51,Refrigerado
3883,44,Congelado
3887,20,Fruta
3899,22,Refrigerado
3955,0,Refrigerado
3956,130,Refrigerado
3957,0,Refrigerado
3958,2,Congelado
3959,0,Refrigerado
3960,0,Refrigerado
3961,0,Refrigerado
3964,0,Refrigerado
3965,61,Congelado
3966,60,Congelado
3967,7,Refrigerado
3968,0,Refrigerado
3969,0,Refrigerado
3970,0,Refrigerado
3971,0,Refrigerado
3976,18,Refrigerado
3977,0,Refrigerado
3985,0,Refrigerado
3819,0,Refrigerado
3822,52,Refrigerado
3839,6,Fruta
3852,1,Fruta
3854,1,Refrigerado
3856,0,Refrigerado
3868,38,Refrigerado
3875,19,Refrigerado
3878,60,Refrigerado
3894,57,Congelado
3896,12,Refrigerado
3905,6,Fruta
3928,0,Fruta
3929,0,Fruta
3990,3,Refrigerado
3992,0,Refrigerado
3993,0,Refrigerado
3994,0,Refrigerado
3998,165,Refrigerado
3999,237,Congelado
4002,215,Refrigerado
4005,148,Refrigerado
4006,0,Refrigerado
4242,163,Refrigerado
4243,40,Refrigerado
4244,0,Refrigerado
4245,19,Refrigerado
4246,104,Refrigerado
4247,0,Refrigerado
4248,0,Refrigerado
4249,0,Refrigerado
4250,0,Refrigerado
4251,0,Refrigerado
4252,0,Refrigerado
4253,113,Refrigerado
4254,0,Congelado
4255,0,Congelado
4256,0,Refrigerado
4258,0,Refrigerado
4260,0,Refrigerado
4263,0,Refrigerado
4267,0,Refrigerado
4268,0,Refrigerado
4269,0,Congelado
4270,0,Refrigerado
4271,0,Refrigerado
4272,0,Refrigerado
4273,10,Refrigerado
4274,0,Refrigerado
4275,0,Refrigerado
4279,0,Refrigerado
4280,267,Fruta
4281,0,Refrigerado
4284,0,Refrigerado
4285,148,Refrigerado
4286,225,Congelado
4287,143,Refrigerado
