timestamp, decibels, decibels_avg, tag
"1429685650553","-11.432503959236808","-10.199990982745607","2015_4_22_8"
"1429685651605","-13.210235050336863","-10.346723048452443","2015_4_22_8"
"1429685652646","-10.340412140790932","-10.858076798037743","2015_4_22_8"
"1429685653696","-11.172498733726371","-11.03293728234677","2015_4_22_8"
"1429685654740","-15.486158226037666","-12.328361622025728","2015_4_22_8"
"1429685655805","-15.621124820541016","-13.16608579428657","2015_4_22_8"
"1429685656843","-11.529014837022636","-12.829841751623723","2015_4_22_8"
"1429685657891","-14.948332668149504","-13.751425857095438","2015_4_22_8"
"1429685658939","-6.786905868123806","-12.874307283974924","2015_4_22_8"
"1429685659980","-12.821572002514914","-12.341390039270376","2015_4_22_8"
"1429685661030","-10.852456069521894","-11.387656289066552","2015_4_22_8"
"1429685662084","-11.926153248777421","-11.467083971417509","2015_4_22_8"
"1429685663130","-15.937729879965115","-11.66496341378063","2015_4_22_8"
"1429685664180","-13.694591304428172","-13.046500501041503","2015_4_22_8"
"1429685665223","-11.468569988791167","-12.775900098296754","2015_4_22_8"
"1429685666265","-11.149243325890518","-12.835257549570477","2015_4_22_8"
"1429685667308","-4.420904886655109","-11.334207877146016","2015_4_22_8"
"1429685668354","-9.977799989636681","-10.14222189908033","2015_4_22_8"
"1429685669396","-11.70053304058364","-9.743410246311424","2015_4_22_8"
"1429685670440","-12.963501461674593","-10.042396540888108","2015_4_22_8"
"1429685671481","-15.543744445620536","-10.92129676483411","2015_4_22_8"
"1429685672525","-13.851664113492363","-12.807448610201561","2015_4_22_8"
"1429685673568","-6.2157966590627485","-12.055047944086777","2015_4_22_8"
"1429685674619","-10.266668547482144","-11.768275045466478","2015_4_22_8"
"1429685675663","-3.9724340287650097","-9.970061558884561","2015_4_22_8"
"1429685676770","-12.77944149321467","-9.417200968403387","2015_4_22_8"
"1429685677815","-5.059248452504641","-7.658717836205843","2015_4_22_8"
"1429685678865","-7.752172743806157","-7.965993053154524","2015_4_22_8"
"1429685679912","-7.3531040953514","-7.383280162728376","2015_4_22_8"
"1429685680957","-11.737731768266118","-8.936339710628598","2015_4_22_8"
"1429685681982","-10.830040858015977","-8.54645958358886","2015_4_22_8"
"1429685683023","-13.151546383555875","-10.164919169799106","2015_4_22_8"
"1429685684061","-11.725314482894609","-10.959547517616794","2015_4_22_8"
"1429685685100","-10.68573521899134","-11.626073742344783","2015_4_22_8"
"1429685686139","-14.37428125063552","-12.153383638818664","2015_4_22_8"
"1429685687184","-7.481562394815454","-11.48368794617856","2015_4_22_8"
"1429685688227","-1.5297468328550696","-9.1593280360384","2015_4_22_8"
"1429685689266","-11.01100343756392","-9.016465826972262","2015_4_22_8"
"1429685690311","-11.565484686142435","-9.19241572040248","2015_4_22_8"
"1429685691384","-11.81261059094361","-8.680081588464096","2015_4_22_8"
"1429685692428","-8.489401124221738","-8.881649334345353","2015_4_22_8"
"1429685693474","-9.619978195657286","-10.499695606905798","2015_4_22_8"
"1429685694520","-9.229642408249747","-10.143423401042963","2015_4_22_8"
"1429685695565","-12.329011657678269","-10.296128795350132","2015_4_22_8"
"1429685696606","-9.475129541977841","-9.828632585556978","2015_4_22_8"
"1429685697656","-13.403759020065118","-10.811504164725653","2015_4_22_8"
"1429685698703","-8.697041840096173","-10.62691689361343","2015_4_22_8"
"1429685699754","-10.63086523463782","-10.907161458891045","2015_4_22_8"
"1429685700798","-11.16086324687177","-10.673531776729742","2015_4_22_8"
"1429685701847","-3.4737037857960558","-9.473246625493388","2015_4_22_8"
"1429685702871","-5.088095671441584","-7.81011395576868","2015_4_22_8"
"1429685703923","-4.272333817923873","-6.92517235133422","2015_4_22_8"
"1429685704856","-9.9474120065549","-6.788481705717636","2015_4_22_8"
"1429685705914","-10.479048067688021","-6.6521186698808865","2015_4_22_8"
"1429685706960","-6.1306722949025625","-7.1835123717021885","2015_4_22_8"
"1429685708003","-7.982961217220115","-7.762485480857895","2015_4_22_8"
"1429685709068","-7.926689639132384","-8.493356645099597","2015_4_22_8"
"1429685710115","-14.158161842476032","-9.335506612283824","2015_4_22_8"
"1429685711186","-12.892246840268522","-9.818146366799922","2015_4_22_8"
"1429685712233","-14.458857280485491","-11.483783363916508","2015_4_22_8"
"1429685713270","-17.07743928643524","-13.302678977759536","2015_4_22_8"
"1429685714325","-15.240937671857504","-14.765528584304558","2015_4_22_8"
"1429685715364","-15.002450535668002","-14.934386322942952","2015_4_22_8"
"1429685716411","-15.957906171588014","-15.547518189206851","2015_4_22_8"
"1429685717460","-18.17839061305335","-16.29142485572042","2015_4_22_8"
"1429685718505","-17.896106431749143","-16.455158284783202","2015_4_22_8"
"1429685719541","-16.52117436035756","-16.711205622483213","2015_4_22_8"
"1429685720585","-8.532252171359724","-15.417165949621559","2015_4_22_8"
"1429685721635","-14.752736304706808","-15.176131976245319","2015_4_22_8"
"1429685722680","-14.63052076583483","-14.466558006801614","2015_4_22_8"
"1429685723715","-10.500574447077934","-12.987451609867373","2015_4_22_8"
"1429685724759","-12.668082408435824","-12.216833219483025","2015_4_22_8"
"1429685725804","-9.639475150281491","-12.438277815267378","2015_4_22_8"
"1429685726851","-12.105779229163218","-11.908886400158659","2015_4_22_8"
"1429685727896","-17.896106431749143","-12.562003533341521","2015_4_22_8"
"1429685728971","-17.77076674399615","-14.016041992725164","2015_4_22_8"
"1429685730023","-16.224554183704598","-14.72733634777892","2015_4_22_8"
"1429685731069","-14.595915582061199","-15.718624434134862","2015_4_22_8"
"1429685732119","-19.2603286749366","-17.149534323289537","2015_4_22_8"
"1429685733168","-15.222358221697265","-16.61478468127916","2015_4_22_8"
"1429685734215","-15.002450535668002","-16.061121439613533","2015_4_22_8"
"1429685735260","-12.223246093466942","-15.260859821566001","2015_4_22_8"
"1429685736304","-14.011629769851963","-15.144002659124155","2015_4_22_8"
"1429685737371","-14.858878843125535","-14.263712692761942","2015_4_22_8"
"1429685738425","-6.085179315883594","-12.436276911599206","2015_4_22_8"
"1429685739465","-8.395866411234183","-11.114960086712442","2015_4_22_8"
"1429685740511","-6.857465879531821","-10.041804043925419","2015_4_22_8"
"1429685741557","-5.92462225564425","-8.424402541083875","2015_4_22_8"
"1429685742604","-8.463791603051218","-7.145385093069014","2015_4_22_8"
"1429685743665","-7.838992899657003","-7.496147809823695","2015_4_22_8"
"1429685744706","-6.30176353156886","-7.077327233890631","2015_4_22_8"
"1429685745753","-8.404328067663796","-7.386699671517026","2015_4_22_8"
"1429685746814","-12.906451078328661","-8.783065436053908","2015_4_22_8"
"1429685747865","-6.551200864060609","-8.400547288255787","2015_4_22_8"
"1429685748908","-5.041985996399239","-7.841145907604234","2015_4_22_8"
"1429685749989","-8.32008017499546","-8.244809236289553","2015_4_22_8"
"1429685751035","-11.444509337289128","-8.85284549021462","2015_4_22_8"
"1429685752089","-6.007741451067404","-7.4731035647623685","2015_4_22_8"
"1429685753140","-9.23895703610012","-8.01065479917027","2015_4_22_8"
"1429685754185","-14.787973227832541","-9.959852245456931","2015_4_22_8"
"1429685755228","-15.877480692929531","-11.471332349043745","2015_4_22_8"
"1429685756279","-16.651465147917442","-12.512723511169408","2015_4_22_8"
"1429685757321","-16.35043884565836","-14.581262990087598","2015_4_22_8"
"1429685758369","-16.478174818886377","-16.029106546644847","2015_4_22_8"
"1429685759414","-17.216416485541796","-16.514795198186697","2015_4_22_8"
"1429685760466","-14.109042637278781","-16.161107587056552","2015_4_22_8"
"1429685761520","-18.20451360909902","-16.471717279292868","2015_4_22_8"
"1429685762565","-17.429142782457493","-16.68745806665269","2015_4_22_8"
