sensor;fecha;temperatura;tipo_temperatura;day;month;year;hour;minutes;time;total_minutos
5077JTJ_4;05/02/2018 15:53;19;CONGELADO;5;2;2018;15;53;15:53;953
5077JTJ_1;05/02/2018 16:04;19;FRIO POSITIVO;5;2;2018;16;4;16:04;964
5077JTJ_2;05/02/2018 16:05;22;FRIO POSITIVO;5;2;2018;16;5;16:05;965
5077JTJ_4;05/02/2018 16:08;19;CONGELADO;5;2;2018;16;8;16:08;968
5077JTJ_1;05/02/2018 16:19;19;FRIO POSITIVO;5;2;2018;16;19;16:19;979
5077JTJ_2;05/02/2018 16:20;22;FRIO POSITIVO;5;2;2018;16;20;16:20;980
5077JTJ_4;05/02/2018 16:23;19;CONGELADO;5;2;2018;16;23;16:23;983
5077JTJ_2;05/02/2018 16:35;22;FRIO POSITIVO;5;2;2018;16;35;16:35;995
5077JTJ_1;05/02/2018 16:35;20;FRIO POSITIVO;5;2;2018;16;35;16:35;995
5077JTJ_4;05/02/2018 16:38;19;CONGELADO;5;2;2018;16;38;16:38;998
5077JTJ_2;05/02/2018 16:50;22;FRIO POSITIVO;5;2;2018;16;50;16:50;1010
5077JTJ_1;05/02/2018 16:50;20;FRIO POSITIVO;5;2;2018;16;50;16:50;1010
5077JTJ_4;05/02/2018 16:50;20;CONGELADO;5;2;2018;16;50;16:50;1010
5077JTJ_2;05/02/2018 17:05;22;FRIO POSITIVO;5;2;2018;17;5;17:05;1025
5077JTJ_1;05/02/2018 17:05;19;FRIO POSITIVO;5;2;2018;17;5;17:05;1025
5077JTJ_4;05/02/2018 17:05;20;CONGELADO;5;2;2018;17;5;17:05;1025
5077JTJ_2;05/02/2018 17:19;21;FRIO POSITIVO;5;2;2018;17;19;17:19;1039
5077JTJ_1;05/02/2018 17:20;19;FRIO POSITIVO;5;2;2018;17;20;17:20;1040
5077JTJ_4;05/02/2018 17:20;19;CONGELADO;5;2;2018;17;20;17:20;1040
5077JTJ_2;05/02/2018 17:34;20;FRIO POSITIVO;5;2;2018;17;34;17:34;1054
5077JTJ_4;05/02/2018 17:35;19;CONGELADO;5;2;2018;17;35;17:35;1055
5077JTJ_1;05/02/2018 17:35;20;FRIO POSITIVO;5;2;2018;17;35;17:35;1055
5077JTJ_4;05/02/2018 17:47;21;CONGELADO;5;2;2018;17;47;17:47;1067
5077JTJ_2;05/02/2018 17:49;22;FRIO POSITIVO;5;2;2018;17;49;17:49;1069
5077JTJ_1;05/02/2018 17:50;20;FRIO POSITIVO;5;2;2018;17;50;17:50;1070
5077JTJ_3;05/02/2018 18:00;20;CONGELADO;5;2;2018;18;0;18:00;1080
5077JTJ_4;05/02/2018 18:02;21;CONGELADO;5;2;2018;18;2;18:02;1082
5077JTJ_2;05/02/2018 18:04;22;FRIO POSITIVO;5;2;2018;18;4;18:04;1084
5077JTJ_1;05/02/2018 18:05;20;FRIO POSITIVO;5;2;2018;18;5;18:05;1085
5077JTJ_3;05/02/2018 18:15;20;CONGELADO;5;2;2018;18;15;18:15;1095
5077JTJ_4;05/02/2018 18:17;20;CONGELADO;5;2;2018;18;17;18:17;1097
5077JTJ_2;05/02/2018 18:19;20;FRIO POSITIVO;5;2;2018;18;19;18:19;1099
5077JTJ_1;05/02/2018 18:20;20;FRIO POSITIVO;5;2;2018;18;20;18:20;1100
5077JTJ_3;05/02/2018 18:30;20;CONGELADO;5;2;2018;18;30;18:30;1110
5077JTJ_4;05/02/2018 18:32;20;CONGELADO;5;2;2018;18;32;18:32;1112
5077JTJ_2;05/02/2018 18:34;20;FRIO POSITIVO;5;2;2018;18;34;18:34;1114
5077JTJ_1;05/02/2018 18:35;19;FRIO POSITIVO;5;2;2018;18;35;18:35;1115
5077JTJ_3;05/02/2018 18:45;21;CONGELADO;5;2;2018;18;45;18:45;1125
5077JTJ_2;05/02/2018 18:49;20;FRIO POSITIVO;5;2;2018;18;49;18:49;1129
5077JTJ_1;05/02/2018 18:50;19;FRIO POSITIVO;5;2;2018;18;50;18:50;1130
5077JTJ_3;05/02/2018 19:00;20;CONGELADO;5;2;2018;19;0;19:00;1140
5077JTJ_2;05/02/2018 19:04;20;FRIO POSITIVO;5;2;2018;19;4;19:04;1144
5077JTJ_1;05/02/2018 19:05;19;FRIO POSITIVO;5;2;2018;19;5;19:05;1145
5077JTJ_3;05/02/2018 19:15;20;CONGELADO;5;2;2018;19;15;19:15;1155
5077JTJ_4;05/02/2018 19:16;19;CONGELADO;5;2;2018;19;16;19:16;1156
5077JTJ_2;05/02/2018 19:18;19;FRIO POSITIVO;5;2;2018;19;18;19:18;1158
5077JTJ_1;05/02/2018 19:20;20;FRIO POSITIVO;5;2;2018;19;20;19:20;1160
5077JTJ_3;05/02/2018 19:30;20;CONGELADO;5;2;2018;19;30;19:30;1170
5077JTJ_4;05/02/2018 19:31;19;CONGELADO;5;2;2018;19;31;19:31;1171
5077JTJ_2;05/02/2018 19:33;20;FRIO POSITIVO;5;2;2018;19;33;19:33;1173
5077JTJ_1;05/02/2018 19:35;18;FRIO POSITIVO;5;2;2018;19;35;19:35;1175
5077JTJ_3;05/02/2018 19:45;20;CONGELADO;5;2;2018;19;45;19:45;1185
5077JTJ_4;05/02/2018 19:46;19;CONGELADO;5;2;2018;19;46;19:46;1186
5077JTJ_2;05/02/2018 19:48;20;FRIO POSITIVO;5;2;2018;19;48;19:48;1188
5077JTJ_1;05/02/2018 19:50;18;FRIO POSITIVO;5;2;2018;19;50;19:50;1190
5077JTJ_3;05/02/2018 20:01;20;CONGELADO;5;2;2018;20;1;20:01;1201
5077JTJ_4;05/02/2018 20:01;20;CONGELADO;5;2;2018;20;1;20:01;1201
5077JTJ_2;05/02/2018 20:03;20;FRIO POSITIVO;5;2;2018;20;3;20:03;1203
5077JTJ_1;05/02/2018 20:05;18;FRIO POSITIVO;5;2;2018;20;5;20:05;1205
5077JTJ_4;05/02/2018 20:12;18;CONGELADO;5;2;2018;20;12;20:12;1212
5077JTJ_3;05/02/2018 20:16;20;CONGELADO;5;2;2018;20;16;20:16;1216
5077JTJ_2;05/02/2018 20:17;19;FRIO POSITIVO;5;2;2018;20;17;20:17;1217
5077JTJ_1;05/02/2018 20:20;19;FRIO POSITIVO;5;2;2018;20;20;20:20;1220
5077JTJ_4;05/02/2018 20:27;18;CONGELADO;5;2;2018;20;27;20:27;1227
5077JTJ_3;05/02/2018 20:31;20;CONGELADO;5;2;2018;20;31;20:31;1231
5077JTJ_2;05/02/2018 20:32;19;FRIO POSITIVO;5;2;2018;20;32;20:32;1232
5077JTJ_1;05/02/2018 20:35;17;FRIO POSITIVO;5;2;2018;20;35;20:35;1235
5077JTJ_4;05/02/2018 20:42;18;CONGELADO;5;2;2018;20;42;20:42;1242
5077JTJ_3;05/02/2018 20:46;20;CONGELADO;5;2;2018;20;46;20:46;1246
5077JTJ_2;05/02/2018 20:47;19;FRIO POSITIVO;5;2;2018;20;47;20:47;1247
5077JTJ_1;05/02/2018 20:50;17;FRIO POSITIVO;5;2;2018;20;50;20:50;1250
5077JTJ_4;05/02/2018 20:57;18;CONGELADO;5;2;2018;20;57;20:57;1257
5077JTJ_3;05/02/2018 21:01;20;CONGELADO;5;2;2018;21;1;21:01;1261
5077JTJ_2;05/02/2018 21:02;19;FRIO POSITIVO;5;2;2018;21;2;21:02;1262
5077JTJ_1;05/02/2018 21:05;17;FRIO POSITIVO;5;2;2018;21;5;21:05;1265
5077JTJ_4;05/02/2018 21:08;17;CONGELADO;5;2;2018;21;8;21:08;1268
5077JTJ_3;05/02/2018 21:16;20;CONGELADO;5;2;2018;21;16;21:16;1276
5077JTJ_2;05/02/2018 21:17;19;FRIO POSITIVO;5;2;2018;21;17;21:17;1277
5077JTJ_1;05/02/2018 21:20;17;FRIO POSITIVO;5;2;2018;21;20;21:20;1280
5077JTJ_4;05/02/2018 21:23;17;CONGELADO;5;2;2018;21;23;21:23;1283
5077JTJ_3;05/02/2018 21:31;20;CONGELADO;5;2;2018;21;31;21:31;1291
5077JTJ_2;05/02/2018 21:32;19;FRIO POSITIVO;5;2;2018;21;32;21:32;1292
5077JTJ_1;05/02/2018 21:35;17;FRIO POSITIVO;5;2;2018;21;35;21:35;1295
5077JTJ_4;05/02/2018 21:38;17;CONGELADO;5;2;2018;21;38;21:38;1298
5077JTJ_3;05/02/2018 21:46;20;CONGELADO;5;2;2018;21;46;21:46;1306
