Difference, Gender, Age
"-0.17530105201416823","M","17"
"-1.1753010520141682","F","18"
"-1.1753010520141682","F","16"
"-0.17530105201416823","M","17"
"-0.17530105201416823","F","16"
"-1.1753010520141682","M","17"
"-0.17530105201416823","F","17"
"0.8246989479858318","M","16"
"0.8246989479858318","F","17"
"-1.1753010520141682","F","17"
"-0.17530105201416823","F","18"
"0.7602384588326387","F","14"
"-0.23976154116736126","M","13"
"1.7602384588326387","M","13"
"-1.2397615411673613","M","14"
"-0.23976154116736126","M","14"
"0.7602384588326387","M","16"
"-0.23976154116736126","M","13"
"-0.23976154116736126","F","13"
"-0.23976154116736126","M","15"
"0.7602384588326387","M","13"
"0.7602384588326387","M","14"
"-0.23976154116736126","M","13"
"-0.23976154116736126","F","15"
"0.7602384588326387","M","14"
"2.7602384588326387","M","14"
"-0.23976154116736126","M","14"
"0.7602384588326387","M","14"
"1.7602384588326387","M","15"
"0.7602384588326387","M","14"
"0.7602384588326387","F","14"
"0.7602384588326387","F","15"
"-1.6108324730301087","M","13"
"0.3891675269698913","M","14"
"0.3891675269698913","M","13"
"0.3891675269698913","M","13"
"1.3891675269698913","F","13"
"1.3891675269698913","M","14"
"-0.6108324730301087","M","13"
"-0.6108324730301087","M","13"
"2.3891675269698913","M","14"
"2.3891675269698913","F","13"
"1.3891675269698913","F","13"
"-0.6108324730301087","F","14"
"0.3891675269698913","F","14"
"1.3891675269698913","M","14"
"2.3891675269698913","F","13"
"0.3891675269698913","F","13"
"1.3891675269698913","F","13"
"1.3891675269698913","F","13"
"1.3891675269698913","F","14"
"4.389167526969891","F","13"
"0.3891675269698913","F","14"
"0.3891675269698913","F","13"
"-0.37481928634406003","F","15"
"1.62518071365594","M","14"
"1.62518071365594","M","14"
"1.62518071365594","M","15"
"0.62518071365594","F","15"
"-0.37481928634406003","F","16"
"0.62518071365594","F","15"
"1.62518071365594","M","14"
"1.62518071365594","M","15"
"-0.37481928634406003","M","15"
"0.62518071365594","M","16"
"1.62518071365594","M","14"
"0.62518071365594","M","15"
"0.62518071365594","F","15"
"0.62518071365594","F","15"
"0.62518071365594","M","15"
"0.62518071365594","F","15"
"1.62518071365594","M","15"
"1.62518071365594","F","14"
"1.62518071365594","F","14"
"0.62518071365594","M","14"
"0.62518071365594","M","14"
"4.705994933705308","M","14"
"0.705994933705308","F","14"
"2.705994933705308","F","15"
"2.705994933705308","M","14"
"2.705994933705308","M","15"
"2.705994933705308","F","14"
"3.705994933705308","M","14"
"2.705994933705308","F","16"
"2.705994933705308","F","15"
"4.705994933705308","M","15"
"2.705994933705308","F","14"
"-0.5021665792711074","M","15"
"-2.5021665792711074","M","16"
"-0.5021665792711074","M","18"
"-0.5021665792711074","M","15"
"-0.5021665792711074","M","15"
"-0.5021665792711074","M","15"
"-1.5021665792711074","M","17"
"-1.5021665792711074","M","17"
"0.4978334207288926","M","16"
"0.4978334207288926","M","15"
"0.4978334207288926","M","15"
"-1.5021665792711074","F","15"
"0.4978334207288926","F","16"
"-1.5021665792711074","M","15"
"-1.5021665792711074","F","15"
"-0.5021665792711074","M","17"
"-0.036196264570393044","F","14"
"-0.036196264570393044","F","13"
"-1.036196264570393","F","13"
